model	probe	axis	pc_capture_norm	rotated_x	rotated_y	rotated_z	angle_deg_to_target
gemma	happy.sad	x	0.83894	0.91838	-0.09036	-0.38526	23.31027
gemma	angry.calm	y	0.47594	-0.09036	0.93090	0.35392	21.42432
gemma	fearful.unflinching	z	0.75601	-0.38526	0.35392	0.85224	31.54349
qwen	happy.sad	x	0.85036	0.86527	-0.24859	-0.43532	30.08611
qwen	angry.calm	y	0.87367	-0.24859	0.84001	-0.48227	32.85845
qwen	fearful.unflinching	z	0.56781	-0.43532	-0.48227	0.76021	40.51757
ministral	happy.sad	x	0.95826	0.78858	0.09664	-0.60729	37.94695
ministral	angry.calm	y	0.65007	0.09664	0.95794	0.27022	16.67718
ministral	fearful.unflinching	z	0.82127	-0.60729	0.27022	0.74712	41.65891
gpt_oss_20b	happy.sad	x	0.85974	0.89536	0.26540	-0.35762	26.44499
gpt_oss_20b	angry.calm	y	0.73361	0.26540	0.86249	0.43090	30.40264
gpt_oss_20b	fearful.unflinching	z	0.71773	-0.35762	0.43090	0.82851	34.05370
phi4_mini	happy.sad	x	0.96190	0.82098	0.07958	-0.56538	34.81657
phi4_mini	angry.calm	y	0.58640	0.07958	0.98450	0.15626	10.09961
phi4_mini	fearful.unflinching	z	0.92653	-0.56538	0.15626	0.80990	35.91432
granite	happy.sad	x	0.98125	0.77139	-0.35500	-0.52814	39.52090
granite	angry.calm	y	0.98549	-0.35500	0.73772	0.57424	42.46267
granite	fearful.unflinching	z	0.94870	-0.52814	0.57424	0.62555	51.27718
